지역,umdNm,aptNm,buildYear,addr_display,lat,lon,match_query
서울 구로구,신도림동,대림2,2001,신도림로,37.5088351,126.8815707,대한민국 서울 구로구 신도림동 신도림로
서울 구로구,신도림동,동아1,1999,신도림로,37.5088351,126.8815707,대한민국 서울 구로구 신도림동 신도림로
서울 구로구,신도림동,동아2,2000,경인로,37.5041773,126.8816597,대한민국 서울 구로구 신도림동 경인로
서울 구로구,신도림동,동아3,2000,신도림로,37.5088351,126.8815707,대한민국 서울 구로구 신도림동 신도림로
서울 구로구,신도림동,디큐브시티,2011,경인로,37.5041773,126.8816597,대한민국 서울 구로구 신도림동 경인로
서울 구로구,신도림동,현대홈타운아파트,1999,신도림로19길,37.5119938,126.8824423,대한민국 서울 구로구 신도림동 신도림로19길
서울 노원구,월계동,삼호3,1986,마들로,37.6369353,127.0580765,대한민국 서울 노원구 월계동 마들로
서울 동대문구,답십리동,e편한세상답십리아르테포레,2025,전농로4나길,37.57002,127.05467,대한민국 서울 동대문구 답십리동
서울 동대문구,답십리동,답십리대우,2002,답십리로41길,37.5735497,127.0540803,대한민국 서울 동대문구 답십리동 답십리로41길
서울 동대문구,답십리동,답십리파크자이,2019,답십리로56길,37.57002,127.05467,대한민국 서울 동대문구 답십리동
서울 동대문구,답십리동,두산위브,2007,황물로15길,37.56506,127.0571639,대한민국 서울 동대문구 답십리동 황물로15길
서울 동대문구,답십리동,래미안미드카운티,2019,답십리로,37.5747327,127.0499421,대한민국 서울 동대문구 답십리동 답십리로
서울 동대문구,답십리동,래미안위브,2014,답십리로,37.5747327,127.0499421,대한민국 서울 동대문구 답십리동 답십리로
서울 동대문구,답십리동,청계한신휴플러스,2010,서울시립대로,37.573137,127.0452975,대한민국 서울 동대문구 답십리동 서울시립대로
서울 동대문구,답십리동,힐스테이트청계,2018,천호대로55길,37.5708382,127.0477712,대한민국 서울 동대문구 답십리동 천호대로55길
서울 동대문구,용두동,래미안 허브리츠,2011,정릉천동로,37.5731376,127.0353603,대한민국 서울 동대문구 용두동 정릉천동로
서울 동대문구,용두동,래미안엘리니티,2022,한빛로,37.5787721,127.0319051,대한민국 서울 동대문구 용두동 한빛로
서울 동대문구,용두동,용두두산위브,2009,정릉천동로,37.5731376,127.0353603,대한민국 서울 동대문구 용두동 정릉천동로
서울 동대문구,용두동,이편한세상청계센트럴포레,2021,무학로,37.5719233,127.0304973,대한민국 서울 동대문구 용두동 무학로
서울 동대문구,용두동,청량리역해링턴플레이스,2023,고산자로34길,37.5780581,127.0406265,대한민국 서울 동대문구 용두동 고산자로34길
서울 동대문구,이문동,래미안이문2차,2004,이문로12길,37.593419,127.0586305,대한민국 서울 동대문구 이문동 이문로12길
서울 동대문구,장안동,래미안장안,2003,장한로14길,37.5655528,127.0708525,대한민국 서울 동대문구 장안동 장한로14길
서울 동대문구,장안동,장안현대홈타운(336),2003,장안벚꽃로,37.5672703,127.0746237,대한민국 서울 동대문구 장안동 장안벚꽃로
서울 동대문구,장안동,장안힐스테이트,2007,장안벚꽃로1길,37.57105,127.06806,대한민국 서울 동대문구 장안동
